sample,ID,P.MPa,mass.g,mass_lost,leaf.mass.g,offset.mass.g,time,note
LATR_1,1,1.36,6.0721,0,6.0721,0,10/27/2023 8:34,NA
LATR_1,1,1.56,6.0321,0.040000000000000036,6.0321,0,10/27/2023 8:38,NA
LATR_1,1,1.91,5.9374,0.1346999999999996,5.9374,0,10/27/2023 10:53,NA
LATR_1,1,2.36,5.8484,0.2237,5.8484,0,10/27/2023 11:10,"pv(""latr_3"")"
LATR_1,1,2.72,5.7559,0.31620000000000026,5.7559,0,10/27/2023 11:25,NA
LATR_1,1,2.9,5.6534,0.4186999999999994,5.6534,0,10/27/2023 11:48,NA
LATR_1,1,3.59,5.3185,0.7535999999999996,5.3185,0,10/27/2023 13:54,NA
LATR_1,1,3.97,5.2152,0.8568999999999996,5.2152,0,10/27/2023 14:55,NA
LATR_1,1,4.56,5.0222,1.0499,5.0222,0,10/30/2023 8:15,NA
LATR_1,1,4.82,4.9437,1.1284,4.9437,0,10/30/2023 9:03,NA
LATR_1,1,5.39,4.745,1.3270999999999997,4.745,0,10/30/2023 12:25,NA
LATR_1,1,5.84,4.6026,1.4695,4.6026,0,10/30/2023 15:45,NA
LATR_2,2,0.99,2.278,0.026399999999999757,2.278,0,1698406678,NA
LATR_2,2,1.54,2.2301,0.07429999999999959,2.2301,0,1698407644,NA
LATR_2,2,1.93,2.1981,0.10629999999999962,2.1981,0,1698408419,NA
LATR_2,2,2.86,2.0732,0.23119999999999985,2.0732,0,1698414494,"pv(""latr_1"")"
LATR_2,2,3.6,1.9588,0.3455999999999997,1.9588,0,1698416889,NA
LATR_2,2,3.98,1.9229,0.38149999999999973,1.9229,0,1698418816,NA
LATR_2,2,4.06,1.9065,0.3978999999999997,1.9065,0,1698420113,NA
LATR_2,2,4.98,1.7718,0.5325999999999997,1.7718,0,1698654328,NA
LATR_2,2,6.65,1.5996,0.7047999999999999,1.5996,0,1698668750,NA
LATR_3,3,1.13,1.9269,0.06410000000000005,1.9269,0,10/27/2023 11:13,NA
LATR_3,3,1.3,1.9164,0.0746,1.9164,0,10/27/2023 11:22,NA
LATR_3,3,1.46,1.8967,0.09430000000000005,1.8967,0,10/27/2023 11:43,NA
LATR_3,3,1.7,1.8845,0.10650000000000004,1.8845,0,10/27/2023 11:58,NA
LATR_3,3,2.56,1.8341,0.15690000000000004,1.8341,0,10/27/2023 13:55,NA
LATR_3,3,2.87,1.8013,0.1897000000000002,1.8013,0,10/27/2023 14:34,NA
LATR_3,3,3.15,1.7789,0.21210000000000018,1.7789,0,2023-10-27 15:01:59,NA
LATR_3,3,4.13,1.6605,0.3305,1.6605,0,2023-10-30 08:32:26,NA
LATR_3,3,4.57,1.6295,0.36150000000000015,1.6295,0,2023-10-30 09:44:53,NA
LATR_3,3,5.09,1.5752,0.41580000000000017,1.5752,0,2023-10-30 12:36:04,NA
LATR_3,3,5.75,1.5167,0.47430000000000017,1.5167,0,2023-10-30 16:26:30,NA
LATR_4,4,1.53,1.9928,0.03420000000000023,1.9928,0,10/27/2023 11:48,NA
LATR_4,4,2.08,1.943,0.08400000000000007,1.943,0,10/27/2023 12:17,NA
LATR_4,4,2.91,1.88,0.14700000000000024,1.88,0,10/27/2023 14:03,NA
LATR_4,4,3.17,1.8279,0.19910000000000005,1.8279,0,10/27/2023 14:41,NA
LATR_4,4,3.29,1.8048,0.22220000000000018,1.8048,0,2023-10-27 15:09:24,NA
LATR_4,4,3.46,1.7883,0.23870000000000013,1.7883,0,2023-10-27 15:26:43,NA
LATR_4,4,4.21,1.669,0.3580000000000001,1.669,0,2023-10-30 08:39:34,NA
LATR_4,4,4.55,1.6288,0.3982000000000001,1.6288,0,2023-10-30 09:49:00,NA
LATR_4,4,5.17,1.5556,0.47140000000000004,1.5556,0,2023-10-30 12:43:55,NA
LATR_4,4,6.41,1.4578,0.5692000000000002,1.4578,0,2023-10-30 16:34:09,NA
LATR_5,5,2.21,1.4031,0.04400000000000004,1.4031,0,10/27/2023 11:44,NA
LATR_5,5,2.42,1.3814,0.06570000000000009,1.3814,0,10/27/2023 11:54,NA
LATR_5,5,2.69,1.3585,0.08860000000000001,1.3585,0,10/27/2023 12:10,NA
LATR_5,5,2.97,1.3084,0.13870000000000005,1.3084,0,10/27/2023 14:07,NA
LATR_5,5,3.11,1.2824,0.16470000000000007,1.2824,0,10/27/2023 14:46,NA
LATR_5,5,3.25,1.2665,0.1806000000000001,1.2665,0,10/27/2023 15:13,NA
LATR_5,5,4.72,1.1422,0.30489999999999995,1.1422,0,10/30/2023 8:46,NA
LATR_5,5,5.22,1.1095,0.3376000000000001,1.1095,0,10/30/2023 9:57,NA
LATR_5,5,6.39,1.0534,0.39370000000000016,1.0534,0,10/30/2023 12:58,NA
