sample,ID,P.MPa,mass.g,mass_lost,leaf.mass.g,offset.mass.g,time,note,dry_mass,wc,r2,n,slope,sat_mass_est,keep,rwc,rwc_plotting
LATR_1,1,1.36,6.0721,0,6.0721,0,10/27/2023 8:34,NA,2.8602,1.1229634291308301,0.9977677059195257,5,-0.23164541059729032,6.388301203803829,TRUE,0.9103763793785404,0.08962362062145957
LATR_1,1,1.56,6.0321,0.040000000000000036,6.0321,0,10/27/2023 8:38,NA,2.8602,1.1089783931193624,0.9977677059195257,5,-0.23164541059729032,6.388301203803829,TRUE,0.8990388361252817,0.10096116387471832
LATR_1,1,1.91,5.9374,0.1346999999999996,5.9374,0,10/27/2023 10:53,NA,2.8602,1.0758688203622127,0.9977677059195257,5,-0.23164541059729032,6.388301203803829,TRUE,0.8721972024731919,0.12780279752680812
LATR_1,1,2.36,5.8484,0.2237,5.8484,0,10/27/2023 11:10,"pv(""latr_3"")",2.8602,1.0447521152366968,0.9977677059195257,5,-0.23164541059729032,6.388301203803829,TRUE,0.8469711687346911,0.15302883126530886
LATR_1,1,2.72,5.7559,0.31620000000000026,5.7559,0,10/27/2023 11:25,NA,2.8602,1.0124117194601776,0.9977677059195257,5,-0.23164541059729032,6.388301203803829,TRUE,0.8207530999615303,0.17924690003846966
LATR_1,1,2.9,5.6534,0.4186999999999994,5.6534,0,10/27/2023 11:48,NA,2.8602,0.9765750646807918,0.9977677059195257,5,-0.23164541059729032,6.388301203803829,FALSE,0.7917006453750551,0.20829935462494487
LATR_1,1,3.59,5.3185,0.7535999999999996,5.3185,0,10/27/2023 13:54,NA,2.8602,0.8594853506747782,0.9977677059195257,5,-0.23164541059729032,6.388301203803829,FALSE,0.6967770644871466,0.3032229355128534
LATR_1,1,3.97,5.2152,0.8568999999999996,5.2152,0,10/27/2023 14:55,NA,2.8602,0.8233689951751628,0.9977677059195257,5,-0.23164541059729032,6.388301203803829,FALSE,0.667497859035606,0.332502140964394
LATR_1,1,4.56,5.0222,1.0499,5.0222,0,10/30/2023 8:15,NA,2.8602,0.7558911964198308,0.9977677059195257,5,-0.23164541059729032,6.388301203803829,FALSE,0.6127942128386327,0.38720578716136733
LATR_1,1,4.82,4.9437,1.1284,4.9437,0,10/30/2023 9:03,NA,2.8602,0.7284455632473253,0.9977677059195257,5,-0.23164541059729032,6.388301203803829,FALSE,0.5905442842041124,0.4094557157958876
LATR_1,1,5.39,4.745,1.3270999999999997,4.745,0,10/30/2023 12:25,NA,2.8602,0.6589748968603595,0.9977677059195257,5,-0.23164541059729032,6.388301203803829,FALSE,0.5342250380935499,0.46577496190645007
LATR_1,1,5.84,4.6026,1.4695,4.6026,0,10/30/2023 15:45,NA,2.8602,0.6091881686595343,0.9977677059195257,5,-0.23164541059729032,6.388301203803829,FALSE,0.4938633841119489,0.5061366158880511
LATR_2,2,0.99,2.278,0.026399999999999757,2.278,0,1698406678,NA,1.0059,1.2646386320707823,0.9997299951616456,3,-0.08513749813181917,2.3619710805559713,TRUE,0.9380776702932532,0.061922329706746826
LATR_2,2,1.54,2.2301,0.07429999999999959,2.2301,0,1698407644,NA,1.0059,1.2170195844517349,0.9997299951616456,3,-0.08513749813181917,2.3619710805559713,TRUE,0.9027550381047094,0.09724496189529064
LATR_2,2,1.93,2.1981,0.10629999999999962,2.1981,0,1698408419,NA,1.0059,1.1852072770653148,0.9997299951616456,3,-0.08513749813181917,2.3619710805559713,TRUE,0.8791574550142415,0.12084254498575853
LATR_2,2,2.86,2.0732,0.23119999999999985,2.0732,0,1698414494,"pv(""latr_1"")",1.0059,1.0610398647976935,0.9997299951616456,3,-0.08513749813181917,2.3619710805559713,FALSE,0.7870531385142592,0.21294686148574082
LATR_2,2,3.6,1.9588,0.3455999999999997,1.9588,0,1698416889,NA,1.0059,0.9473108658912417,0.9997299951616456,3,-0.08513749813181917,2.3619710805559713,FALSE,0.7026917789658368,0.2973082210341632
