"P.MPa","mass.g","leaf.mass.g","offset.mass.g","keep","time","note","eTLP","xTLP","a","b","c","d"
2.75,0.368,0.368,0,TRUE,"2025-07-08 06:01:40.356575",NA,NA,NA,NA,NA,NA,NA
1.95,0.356,0.356,0,TRUE,"2025-07-08 06:08:11.079835",NA,NA,NA,NA,NA,NA,NA
1.6,0.354,0.354,0,TRUE,"2025-07-08 06:16:22.00242",NA,NA,NA,NA,NA,NA,NA
1.8,0.3522,0.3522,0,TRUE,"2025-07-08 06:29:41.205381",NA,NA,NA,NA,NA,NA,NA
2.2,0.3477,0.3477,0,TRUE,"2025-07-08 06:52:12.510735",NA,NA,NA,NA,NA,NA,NA
2.4,0.3445,0.3445,0,TRUE,"2025-07-08 07:17:06.408026",NA,NA,NA,NA,NA,NA,NA
2.45,0.3411,0.3411,0,TRUE,"2025-07-08 07:45:07.038752",NA,NA,NA,-1.11181031488683,136.138764674209,0.0987678625521297,-37.5205062010695
2.71,0.3366,0.3366,0,TRUE,"2025-07-08 08:16:24.150415",NA,NA,NA,-0.832698147057676,213.483132587196,-0.179719278555711,-26.8858053165185
2.93,0.332,0.332,0,TRUE,"2025-07-08 08:52:05.851222",NA,NA,NA,-0.753823697792668,276.418098687229,-0.258232691842135,-23.5360927792881
3.18,0.3284,0.3284,0,TRUE,"2025-07-08 09:27:01.921017",NA,NA,NA,-0.73314917542478,303.948108160465,-0.278793100498819,-22.6290259764061
3.5,0.3225,0.3225,0,TRUE,"2025-07-08 10:38:07.659549",NA,NA,NA,NA,NA,NA,NA
4.19,0.3112,0.3112,0,TRUE,"2025-07-09 09:32:37.463818",NA,NA,NA,NA,NA,NA,NA
4.45,0.3028,0.3028,0,TRUE,"2025-07-09 11:47:26.10469",NA,NA,NA,NA,NA,NA,NA
6.25,0.2721,0.2721,0,TRUE,"2025-07-10 10:04:03.212815"," ",NA,NA,NA,NA,NA,NA
