Parameter,ID,pred.median,std.error,pred.lower,pred.upper,shrub_id,week,superID
cp,1,0.3057718953672653,0.01784126180198398,0.26847102864642175,0.3401870202987965,122,2,122-2-1
cp,2,0.36342567459255654,0.030034106020145057,0.31353240167258173,0.4581900641023939,16,2,16-2-2
cp,3,0.400686308457774,0.030691476156082486,0.34164189394313615,0.47035979129665934,39,2,39-2-3
cp,4,0.28005793698830594,0.02096497350730061,0.23670630261071846,0.3226538954842878,46,2,46-2-4
cp,5,0.3281490736103628,0.03427752190529554,0.21441829219107536,0.39401046497157277,5,2,5-2-5
cp,6,0.23214126100963794,0.017894970149708582,0.19923825721227395,0.2807292223161926,69,2,69-2-6
cp,7,0.2000955341608478,0.059549185554543596,0.06992971785211684,0.31095957228204163,101,3,101-3-7
cp,8,0.19869516285006428,0.023233888957116196,0.1386633569413435,0.23342505791594492,51,3,51-3-8
cp,9,0.2393964673566095,0.033976198517635184,0.176115616836545,0.30776476286379273,56,3,56-3-9
cp,10,0.20098713317299427,0.08992764206378188,0.077512665591562,0.35485233205909983,86,3,86-3-10
cp,11,0.2105192366232109,0.07535169102391386,0.09205244563451918,0.3370629965165695,90,3,90-3-11
cp,12,0.2042942323626231,0.06592485073915998,0.0866914336266518,0.33620604304750856,91,3,91-3-12
cp,13,0.12964752804824647,0.011543718720501011,0.11029518451667103,0.15363231591389093,122,4,122-4-13
cp,14,0.13356938835567864,0.009634088726861506,0.1232123518497555,0.14879094195509776,16,4,16-4-14
cp,15,0.22131320302496932,0.020084871041584927,0.18384078580130697,0.2700949843780475,39,4,39-4-15
cp,16,0.1847102810129467,0.010076196188178151,0.16458863015818573,0.20536080055077116,46,4,46-4-16
cp,17,0.11654275427478353,0.008095872231910384,0.10313171041851187,0.13225664181012933,5,4,5-4-17
cp,18,0.2428040175473648,0.032793334521499504,0.19358703722511744,0.3435809314375105,69,4,69-4-18
cp,19,0.0893552057918611,0.0064911747488887814,0.07550092275722009,0.10143627034171605,101,5,101-5-19
cp,20,0.11837346980206373,0.008010113083048009,0.10253077807205355,0.134571411287189,51,5,51-5-20
cp,21,0.2092864115078844,0.0865198551658597,0.06605613853376267,0.33241728868073867,56,5,56-5-21
cp,22,0.20304316679308965,0.018031764779056797,0.16812785020406298,0.2394832898546371,86,5,86-5-22
cp,23,0.1771131123221421,0.014600653239542597,0.14885038012370957,0.20996119926864212,90,5,90-5-23
cp,24,0.20585005848839677,0.07072792475911228,0.08778166893690932,0.3287136563369891,91,5,91-5-24
cp,25,0.22213189663234545,0.008084676495892838,0.20886094607052547,0.2376664053042611,122,6,122-6-25
cp,26,0.22660383954022845,0.024606945716643323,0.18358000441506875,0.2827049577148278,16,6,16-6-26
cp,27,0.12790155953362378,0.007417284766469089,0.11418786657989233,0.14507846433000748,39,6,39-6-27
cp,28,0.20162811720890464,0.053404999321226866,0.07410524575858292,0.30028247529401203,46,6,46-6-28
cp,29,0.11455634944583877,0.024190470841986927,0.050766619416795285,0.16318217915160832,5,6,5-6-29
cp,30,0.24785830162231254,0.013568540701757833,0.2228738801989346,0.27544412493144965,69,6,69-6-30
cp,31,0.1761357889951407,0.038921537352736596,0.08119338610934004,0.23693917207660242,101,7,101-7-31
cp,32,0.20009255206604237,0.07306435835172419,0.07365271666657493,0.32007200315826817,51,7,51-7-32
cp,33,0.10257924348575037,0.009213681216396711,0.08640178085139841,0.12070049244846653,56,7,56-7-33
cp,34,0.1333434232625505,0.0097901446352216,0.11530058463199395,0.1553753423124221,86,7,86-7-34
cp,35,0.2293881935573077,0.02411175875782892,0.19053852552102798,0.3044008008848226,90,7,90-7-35
cp,36,0.12087237889919586,0.00876483765635308,0.1063816260833872,0.14261462937782665,91,7,91-7-36
cp,37,0.13136253783191448,0.015350651411163228,0.10465685816011865,0.17134734714700306,122,8,122-8-37
cp,38,0.17052919646043244,0.013228886958160494,0.1477827796031259,0.20559125044500093,16,8,16-8-38
cp,39,0.19820624292365258,0.060740868349067494,0.08411584846785113,0.30681714238647906,39,8,39-8-39
cp,40,0.14210515166842516,0.010866697395397815,0.12030787321788086,0.16765576658886652,46,8,46-8-40
cp,41,0.07664003788426617,0.006067523650982452,0.0667527081724722,0.09113222891289328,5,8,5-8-41
cp,42,0.16018740828578926,0.010315958640735074,0.14237911459352653,0.18446369531252702,101,9,101-9-42
cp,43,0.10786955509377058,0.012701150840198574,0.0834406580795741,0.13242178396930224,51,9,51-9-43
cp,44,0.20866501894417033,0.07000169414658113,0.08266784536952307,0.32969838480790475,56,9,56-9-44
cp,45,0.16991475743831636,0.026345918042873433,0.1224667183082503,0.22570813369452133,86,9,86-9-45
cp,46,0.17126073519799123,0.02050751329212795,0.13875168609867874,0.21726847202020086,90,9,90-9-46
cp,47,0.21638812241811928,0.06409690515314362,0.09746300233872841,0.3276179365507326,91,9,91-9-47
