Parameter,ID,pred.median,std.error,pred.lower,pred.upper,shrub_id,week,superID
c,1,0.6200880208890618,0.04961753744033308,0.5004124938641897,0.7568348116152621,122,2,122-2-1
c,2,0.6360162367413024,0.05701899303818535,0.4965108418007345,0.8704009364082672,16,2,16-2-2
c,3,0.6275714502446819,0.053983370002639426,0.47978728287973166,0.8145607629856559,39,2,39-2-3
c,4,0.6231018396922674,0.0501299913464837,0.5083505936986474,0.7733856085953625,46,2,46-2-4
c,5,0.6276072892488741,0.05424343177353185,0.4767798349230653,0.8460808286473274,5,2,5-2-5
c,6,0.6432320894085801,0.05849258058496137,0.5351038183112169,0.8230681938929619,69,2,69-2-6
c,7,0.6242919872990308,0.05147096832752715,0.4892114094046156,0.8094304105030471,101,3,101-3-7
c,8,0.6142401439760227,0.05305348716783024,0.45837308758451595,0.7663326756638965,51,3,51-3-8
c,9,0.6196890050471259,0.052635870690424295,0.4558799064174975,0.777123237522047,56,3,56-3-9
c,10,0.6394111159496647,0.059746488372014114,0.5223318491746278,0.8269114906056875,86,3,86-3-10
c,11,0.6242983372430029,0.05246270093142744,0.4791635520151353,0.7999601164311619,90,3,90-3-11
c,12,0.6134868474012892,0.05024813456543633,0.4607359375524083,0.7305907732355883,91,3,91-3-12
c,13,0.6224908727635574,0.051165668934020414,0.4859115001355143,0.7710439951899842,122,4,122-4-13
c,14,0.6666458346822532,0.09552907527161165,0.5405079313039858,1.0479228564445937,16,4,16-4-14
c,15,0.6137583847293057,0.05221946936617019,0.4707952916727088,0.765232765134803,39,4,39-4-15
c,16,0.622075006131007,0.050321767306198834,0.4920445355697327,0.7817962864139639,46,4,46-4-16
c,17,0.6293052033498773,0.05174081999732411,0.49840081365066546,0.7994024772731316,5,4,5-4-17
c,18,0.6364319972257027,0.05717744677754656,0.49186114446776175,0.8340755967602118,69,4,69-4-18
c,19,0.6146440875895384,0.05213064209847941,0.4763248728797283,0.7534270681154216,101,5,101-5-19
c,20,0.6158620999615654,0.05207009398097839,0.46828138946132997,0.748943413611233,51,5,51-5-20
c,21,0.6325875162574517,0.053242672941619176,0.49423449094166566,0.8038035917410028,56,5,56-5-21
c,22,0.6197449376062296,0.050074170334842516,0.4881455446596111,0.7580001091662775,86,5,86-5-22
c,23,0.6133364381807094,0.049670523786794187,0.48098712692133927,0.7278401518793984,90,5,90-5-23
c,24,0.6119358385145042,0.05238741516931603,0.4678247919430202,0.7429111628171688,91,5,91-5-24
c,25,0.6256109298286323,0.050079309927349505,0.4999056678417721,0.765690254110565,122,6,122-6-25
c,26,0.6172692957339154,0.05081459727497706,0.48331479537353944,0.7545435388554962,16,6,16-6-26
c,27,0.6122417327883423,0.05145338229901218,0.4706171795038918,0.7303347824253682,39,6,39-6-27
c,28,0.624830208915859,0.04730184901174307,0.507822279176091,0.747118754745394,46,6,46-6-28
c,29,0.6354863946036957,0.05150158268778257,0.5387877467914367,0.7621932959225659,5,6,5-6-29
c,30,0.6136090029987662,0.05086946957871412,0.471855444182422,0.7358488719264766,69,6,69-6-30
c,31,0.6181496312311332,0.05212307013471476,0.49082939265328884,0.7581719194602873,101,7,101-7-31
c,32,0.6186611454430102,0.051772083330141785,0.4907924034432056,0.7552437700058605,51,7,51-7-32
c,33,0.6146160725549927,0.05062103026212932,0.4755259288619279,0.723623511847995,56,7,56-7-33
c,34,0.6131478752492343,0.04932590417746686,0.49101160363971846,0.7343939271663695,86,7,86-7-34
c,35,0.6209603661228572,0.05114581726704985,0.4911123254282851,0.770288663156649,90,7,90-7-35
c,36,0.5958923830804521,0.052866822253752006,0.4484307626089477,0.6864837498522375,91,7,91-7-36
c,37,0.6186389028524786,0.051895184258268875,0.48255024184625617,0.7678312058609924,122,8,122-8-37
c,38,0.6171473619646838,0.05144193687591469,0.46158226717034895,0.7387561720337922,16,8,16-8-38
c,39,0.615949388306221,0.05083236286424229,0.4971027048724969,0.748863426114091,39,8,39-8-39
c,40,0.6157949620171459,0.05169220283782628,0.48018100232935873,0.7602923089331942,46,8,46-8-40
c,41,0.6118161256652305,0.05005215210287917,0.4696891216915017,0.7201705762020972,5,8,5-8-41
c,42,0.6366280148668273,0.05544869957735034,0.5213500012082773,0.8232844147979915,101,9,101-9-42
c,43,0.6115704117727669,0.0525289778154089,0.4624612769331792,0.7395402976801222,51,9,51-9-43
c,44,0.6117053533661189,0.05100742239774426,0.46690041303127866,0.732376586497156,56,9,56-9-44
c,45,0.6177341328778392,0.05014733332852693,0.47478610685186773,0.7417561012770155,86,9,86-9-45
c,46,0.6056641894347304,0.05041804906055336,0.4680173746687787,0.7147584273964245,90,9,90-9-46
c,47,0.6104232414210018,0.052682737773277526,0.45389972181336496,0.7444492539736782,91,9,91-9-47
