Parameter,ID,pred.median,std.error,pred.lower,pred.upper,x,y,lab,shrub_id,week,superID
tlp,1,-2.1789023768385585,0.11750359477747677,-2.4221268102679616,-1.9412046979187012,0.1,0.95,TLP = -2.179,122,2,122-2-1
tlp,2,-2.0714986918738743,0.12987159640376766,-2.4698402627505613,-1.7840454304894753,0.1,0.95,TLP = -2.071,16,2,16-2-2
tlp,3,-2.8252594639373543,0.2916927127148075,-3.579947042806621,-2.2870990483815032,0.1,0.95,TLP = -2.825,39,2,39-2-3
tlp,4,-2.2705337258922627,0.14664050215782268,-2.581198382592294,-1.9844797429546797,0.1,0.95,TLP = -2.271,46,2,46-2-4
tlp,5,-2.4945892426298175,0.21506991039913598,-3.0056471997616994,-1.8964912029723195,0.1,0.95,TLP = -2.495,5,2,5-2-5
tlp,6,-1.9461853346328968,0.1136470947757683,-2.172283492893023,-1.6996810624829461,0.1,0.95,TLP = -1.946,69,2,69-2-6
tlp,7,-2.8869772947888865,0.45063551897171805,-4.329638184803428,-2.1022707379684187,0.1,0.95,TLP = -2.887,101,3,101-3-7
tlp,8,-3.403198378073787,0.3002676252929989,-4.0341266259354045,-2.832079093723778,0.1,0.95,TLP = -3.403,51,3,51-3-8
tlp,9,-3.068323032090908,0.3181605835743987,-3.991482287061825,-2.4947015656566327,0.1,0.95,TLP = -3.068,56,3,56-3-9
tlp,10,-1.9388551474235363,0.2411128438242566,-2.6197050093196568,-1.5614530919949507,0.1,0.95,TLP = -1.939,86,3,86-3-10
tlp,11,-2.51108338325475,0.3380450209333774,-3.306983455937397,-1.9534093449530248,0.1,0.95,TLP = -2.511,90,3,90-3-11
tlp,12,-2.331462437732281,0.25996280164373087,-2.9049504290249493,-1.8843337776943445,0.1,0.95,TLP = -2.331,91,3,91-3-12
tlp,13,-2.578279592097701,0.13849499060213094,-2.8822997095791743,-2.3392554158161722,0.1,0.95,TLP = -2.578,122,4,122-4-13
tlp,14,-1.7483021692059268,0.12550824165122113,-1.9406041833308039,-1.5280627344389572,0.1,0.95,TLP = -1.748,16,4,16-4-14
tlp,15,-3.051624593266755,0.24134458593861718,-3.6299921927366885,-2.5934225704092553,0.1,0.95,TLP = -3.052,39,4,39-4-15
tlp,16,-2.3775881146469633,0.12660455667868006,-2.646667141234135,-2.134449633983576,0.1,0.95,TLP = -2.378,46,4,46-4-16
tlp,17,-2.3076978279108675,0.10867486959115252,-2.536033950464245,-2.0911059495807867,0.1,0.95,TLP = -2.308,5,4,5-4-17
tlp,18,-2.746521801153885,0.26561464198474655,-3.6128282013687754,-2.2133175696322835,0.1,0.95,TLP = -2.747,69,4,69-4-18
tlp,19,-2.5869494083742532,0.1397656236419875,-2.8902781139273785,-2.3463413458717275,0.1,0.95,TLP = -2.587,101,5,101-5-19
tlp,20,-2.7732263902575056,0.16231452441631797,-3.1082899950319582,-2.4724438059261953,0.1,0.95,TLP = -2.773,51,5,51-5-20
tlp,21,-2.350176655804643,0.3229779952391606,-3.0931598608469297,-1.8468403740244337,0.1,0.95,TLP = -2.35,56,5,56-5-21
tlp,22,-2.4991872329273077,0.16265491400951163,-2.841994211502812,-2.2066561247166674,0.1,0.95,TLP = -2.499,86,5,86-5-22
tlp,23,-2.438351250677623,0.13292416640776286,-2.7729297344634665,-2.216876062337748,0.1,0.95,TLP = -2.438,90,5,90-5-23
tlp,24,-2.479125750121419,0.2895800097891816,-3.051239477707704,-1.9590242868899037,0.1,0.95,TLP = -2.479,91,5,91-5-24
tlp,25,-2.1981975342343016,0.099439809066704285,-2.4240273356667306,-2.029068571304257,0.1,0.95,TLP = -2.198,122,6,122-6-25
tlp,26,-2.6662668451755174,0.23511227090029524,-3.1731313123138274,-2.2697901761379593,0.1,0.95,TLP = -2.666,16,6,16-6-26
tlp,27,-2.629010076537123,0.15257871394011369,-2.9817033795665213,-2.341698037939232,0.1,0.95,TLP = -2.629,39,6,39-6-27
tlp,28,-2.5966741677644816,0.3179205551884363,-3.27821822584579,-2.055140232115006,0.1,0.95,TLP = -2.597,46,6,46-6-28
tlp,29,-2.151611816190764,0.13722931560481724,-2.4571706232330803,-1.9151386026947652,0.1,0.95,TLP = -2.152,5,6,5-6-29
tlp,30,-2.5537906011342963,0.1927338671011826,-2.9578968695470973,-2.2050560805159325,0.1,0.95,TLP = -2.554,69,6,69-6-30
tlp,31,-2.951027777052223,0.3188619677796858,-3.6662842382444087,-2.3727988758989613,0.1,0.95,TLP = -2.951,101,7,101-7-31
tlp,32,-2.867432238507254,0.40942922704196855,-3.851946554806664,-2.20883552995664,0.1,0.95,TLP = -2.867,51,7,51-7-32
tlp,33,-2.5535711654855526,0.14380234207992793,-2.8534131263097344,-2.299501831180653,0.1,0.95,TLP = -2.554,56,7,56-7-33
tlp,34,-2.3033080760874474,0.11046893509294863,-2.5464436638394115,-2.096882570221673,0.1,0.95,TLP = -2.303,86,7,86-7-34
tlp,35,-2.935163001373688,0.27162182201935897,-3.6964739745463406,-2.423124338021656,0.1,0.95,TLP = -2.935,90,7,90-7-35
tlp,36,-2.555172431973131,0.12709162662377765,-2.8388365703720253,-2.3017161726798006,0.1,0.95,TLP = -2.555,91,7,91-7-36
tlp,37,-2.8559626380386973,0.1938026543565579,-3.332543678037708,-2.493334078767479,0.1,0.95,TLP = -2.856,122,8,122-8-37
tlp,38,-2.402503611107143,0.13549853931413167,-2.7291691218744765,-2.1592097589281916,0.1,0.95,TLP = -2.403,16,8,16-8-38
tlp,39,-2.8369106463509066,0.34047713322937384,-3.6090077933363984,-2.2237170695214563,0.1,0.95,TLP = -2.837,39,8,39-8-39
tlp,40,-2.3774203344921947,0.12775684338003276,-2.6308565783814393,-2.1311805136394684,0.1,0.95,TLP = -2.377,46,8,46-8-40
tlp,41,-2.524867315531971,0.11918307353941872,-2.7912256012296255,-2.2856096937009807,0.1,0.95,TLP = -2.525,5,8,5-8-41
tlp,42,-2.320799556649459,0.13043210868299004,-2.6183613492855584,-2.0507444004448248,0.1,0.95,TLP = -2.321,101,9,101-9-42
tlp,43,-2.529746259529582,0.17190790367799122,-2.8712929711273354,-2.231074169985293,0.1,0.95,TLP = -2.53,51,9,51-9-43
tlp,44,-2.7576310511103133,0.3509970546569797,-3.4906538881481834,-2.1276270917339337,0.1,0.95,TLP = -2.758,56,9,56-9-44
tlp,45,-2.7354935261053255,0.24658683657260946,-3.298608958447101,-2.294417879702044,0.1,0.95,TLP = -2.735,86,9,86-9-45
tlp,46,-2.6182267359111666,0.18988702693762383,-3.0585735435147177,-2.2752120093249553,0.1,0.95,TLP = -2.618,90,9,90-9-46
tlp,47,-3.3696516516059596,0.49017710273434206,-4.457789722229871,-2.5033414177204003,0.1,0.95,TLP = -3.37,91,9,91-9-47
