Parameter,ID,pred.mean,std.error,pred.lower,pred.upper
c,1,0.18047085448554315,0.019044445393113656,0.14204630220042097,0.2170847484225994
c,2,0.3828891217958531,0.05309265103094685,0.2784392193488227,0.48894912396806384
c,3,0.5268363181002986,0.12382052428882037,0.25207491296781975,0.7423951378802817
c,4,0.41040278057697105,0.0572601798106963,0.29544393116692,0.5228212216308737
c,5,0.49246323475456844,0.1923967151925941,0.1540997985494054,0.8136700913689825
c,6,0.2703497537567681,0.04732850997868407,0.17611148388995765,0.3580228223369097
c,7,0.5884168985144641,0.08825265237963441,0.402602997287897,0.7538107199590535
c,8,0.3178028287615342,0.05273378078620922,0.2154809678343607,0.4218948048650506
c,9,0.2494762493427107,0.04863340988837462,0.15597952619393274,0.344809420581029
c,10,0.30741740093497816,0.05490298459496345,0.20373359362082244,0.41410234465496254
c,11,0.2061166954394547,0.03309552283917597,0.14267973409554038,0.2703316552466244
