Parameter,ID,pred.mean,std.error,pred.lower,pred.upper
d,1,0.41870840131189657,0.019429796471382793,0.37906105951918206,0.4557369891135689
d,10,0.39625665919350717,0.026291344373897012,0.34514744393350755,0.44886851703196334
d,11,0.40254237218337763,0.02545591165937455,0.3496093589196646,0.44799493465595
d,2,0.41099225841796766,0.024281657347470082,0.3626666877702732,0.4566356952000225
d,3,0.41944309223676246,0.048393169848743,0.3036638069026252,0.4949497183095678
d,4,0.3885208229971343,0.021879520453710923,0.3451031338704163,0.42878809452399125
d,5,0.35813956393596313,0.07127239151625366,0.22414762790659654,0.46441626355100696
d,6,0.40162703788422033,0.02771854011724074,0.350008501057886,0.4556035426601911
d,7,0.41705099562559206,0.02571146153852095,0.3634146012364724,0.46618153684345337
d,8,0.38845061829484356,0.022649635821675194,0.34065919569497405,0.4295175078041591
d,9,0.36211353894675746,0.02500547832635637,0.30933510696051103,0.40827899507629734
