Parameter,ID,pred.mean,std.error,pred.lower,pred.upper,x,y,lab
tlp,1,-2.7110697763696145,0.145725319380628,-2.988556243864638,-2.4054342380109683,0.6,0.95,TLP = -2.711
tlp,2,-2.836212487650516,0.1590021509917468,-3.152391112467277,-2.539502814776219,0.6,0.95,TLP = -2.836
tlp,3,-3.120895842934367,0.37439752402851506,-3.9967052380280133,-2.5843617276060242,0.6,0.95,TLP = -3.121
tlp,4,-3.088863699831602,0.19849179753587573,-3.461484137042523,-2.7454974891027986,0.6,0.95,TLP = -3.089
tlp,5,-4.4695053161809755,1.4499923547249327,-6.864073254030441,-2.3927196192507627,0.6,0.95,TLP = -4.47
tlp,6,-3.0404115549052673,0.21362665253782484,-3.4539277067382526,-2.6442586347159738,0.6,0.95,TLP = -3.04
tlp,7,-2.8374817229723317,0.1823693117136629,-3.240816368011858,-2.5152404000174218,0.6,0.95,TLP = -2.837
tlp,8,-2.9915722926301345,0.19401318557776753,-3.3997766178770488,-2.6368334057448295,0.6,0.95,TLP = -2.992
tlp,9,-3.1394620078197484,0.2055501415724967,-3.5463309012261393,-2.7403168022882003,0.6,0.95,TLP = -3.139
tlp,10,-3.046746761273891,0.23469095234658244,-3.5054458492902882,-2.5827900096731558,0.6,0.95,TLP = -3.047
tlp,11,-3.020394134016268,0.18292871135000124,-3.386566543971034,-2.6786403698115477,0.6,0.95,TLP = -3.02
