site,id,water_pot_mpa,start_weight,weight_g,total_weight_g,mass_lost_g,dry_mass,wc,sat_mass_est,rwc,notes
ONAQ,2b,1.013,1.7372,4.1673,1.7372,0,0.8676,1.00230520977409,1.81192797497622,0.920866502998492,started with parafilm
ONAQ,2b,1.111,1.7372,4.1445,1.7144,0.0228000000000002,0.8676,0.97602581834947,1.81192797497622,0.896722349056029,NA
ONAQ,2b,1.268,1.7372,4.1057,1.6756,0.0616000000000003,0.8676,0.931304748732134,1.81192797497622,0.855634929189031,leaf fell off after measurement
ONAQ,2b,1.543,1.7372,4.0606,1.6319,0.1053,0.8676,0.88093591516828,1.81192797497622,0.809358634132644,NA
ONAQ,2b,2.223,1.7372,4.0051,1.5758,0.1614,0.8676,0.816274781005071,1.81192797497622,0.749951307984742,NA
ONAQ,2b,2.368,1.7372,3.9868,1.5575,0.1797,0.8676,0.795182111572153,1.81192797497622,0.730572447583555,NA
ONAQ,2b,2.61,1.7372,3.9641,1.535,0.2022,0.8676,0.769248501613647,1.81192797497622,0.706745979877178,NA
ONAQ,2b,2.71,1.7372,3.9484,1.5193,0.2179,0.8676,0.751152604887044,1.81192797497622,0.690120400188727,NA
ONAQ,2b,2.863,1.7372,3.9337,1.5044,0.2328,0.8676,0.733978792070078,1.81192797497622,0.674341983796504,NA
ONAQ,2b,2.968,1.7372,3.9194,1.4901,0.2471,0.8676,0.717496542185339,1.81192797497622,0.65919893987645,NA
ONAQ,2b,3.153,1.7372,3.8994,1.4701,0.2671,0.8676,0.694444444444444,1.81192797497622,0.638019857470781,stuck in drying oven @ 30 degrees C at 1pm
ONAQ,2b,3.256,1.7372,3.885,1.4558,0.2814,0.8676,0.677962194559705,1.81192797497622,0.622876813550728,NA
ONAQ,2b,3.532,1.7372,3.8955,1.4174,0.3198,0.8676,0.633702166897188,1.81192797497622,0.582212975331843,added more parafilm before measurement
ONAQ,2b,3.818,1.7372,3.871,1.3929,0.3443,0.8676,0.605463347164592,1.81192797497622,0.556268599384899,leaf fell off after measurement
ONAQ,2b,4.063,1.7372,3.8307,1.3537,0.3835,0.8676,0.560281235592439,1.81192797497622,0.514757597869788,NA
ONAQ,2b,4.658,1.7372,3.7938,1.3171,0.4201,0.8676,0.518095896726602,1.81192797497622,0.475999877067413,leaf fell off after/during measurement
ONAQ,2b,5.098,1.7372,3.7535,1.2803,0.4569,0.8676,0.47568003688335603,1.81192797497622,0.437030365440982,"leaf fell off after/during measurement, had some troubleshooting issues with the lid seal so it took a while to get a measurement"
ONAQ,2b,5.308,1.7372,3.725,1.2572,0.48,0.8676,0.449054863992624,1.81192797497622,0.412568525262434,really hard to tell if the water was coming out of the stem
ONAQ,2b,5.793,1.7372,3.6915,1.2241,0.5131,0.8676,0.410903642231443,1.81192797497622,0.377517143881051,"leaf fell off before measurement, really hard to tell if the water was coming out of the stem"
ONAQ,3a,2.16,2.4743,4.8787,2.4743,4.44089209850063e-16,1.2583,0.966383215449416,2.78136239025728,0.798391456435734,started with parafilm
ONAQ,3a,2.313,2.4743,4.7733,2.3689,0.1054,1.2583,0.882619407136613,2.78136239025728,0.729188775919018,NA
ONAQ,3a,2.569,2.4743,4.7095,2.3051,0.1692,1.2583,0.83191607724708,2.78136239025728,0.687299487332999,stuck in drying oven @ 30 degrees C at 1pm
ONAQ,3a,2.712,2.4743,4.6796,2.2789,0.1954,1.2583,0.811094333624732,2.78136239025728,0.670097302992031,leaf fell off before measurement
ONAQ,3a,2.93,2.4743,4.6342,2.2362,0.2381,1.2583,0.77715965985854,2.78136239025728,0.642061681947783,leaf fell off before measurement
ONAQ,3a,3.086,2.4743,4.5999,2.2018,0.2725,1.2583,0.74982118731622,2.78136239025728,0.619475607851246,leaf and bark fell off after measurement (bark 0.0025g)
ONAQ,3a,3.378,2.4743,4.5544,2.1585,0.3158,1.2583,0.715409679726615,2.78136239025728,0.591046043654151,"added 0.0021g to rest of total_weight measurements for leaf 3, can subtract it back out if needed. fallen_leaf_weight_3 fell on floor, lost"
