"","dt","id","water_pot_mpa","weight_g","mass_lost_g","total_weight_g","total_dryweight_g","notes","start_weight","dry_mass","wc","sat_mass_est","rwc"
"1",2025-03-12 09:10:00,"2b",-1.013,4.1673,0,1.7372,0.8676,"started with parafilm",1.7372,0.8676,1.00230520977409,1.81192797497622,0.920866502998492
"2",2025-03-12 09:14:00,"2b",-1.111,4.1445,0.0228000000000002,1.7144,NA,NA,1.7372,0.8676,0.97602581834947,1.81192797497622,0.896722349056029
"3",2025-03-12 09:21:00,"2b",-1.268,4.1057,0.0616000000000003,1.6756,NA,"leaf fell off after measurement",1.7372,0.8676,0.931304748732134,1.81192797497622,0.855634929189031
"4",2025-03-12 09:35:00,"2b",-1.543,4.0606,0.1053,1.6319,NA,NA,1.7372,0.8676,0.88093591516828,1.81192797497622,0.809358634132644
"5",2025-03-12 09:59:00,"2b",-2.223,4.0051,0.1614,1.5758,NA,NA,1.7372,0.8676,0.816274781005071,1.81192797497622,0.749951307984742
"6",2025-03-12 10:10:00,"2b",-2.368,3.9868,0.1797,1.5575,NA,NA,1.7372,0.8676,0.795182111572153,1.81192797497622,0.730572447583555
"7",2025-03-12 10:26:00,"2b",-2.61,3.9641,0.2022,1.535,NA,NA,1.7372,0.8676,0.769248501613647,1.81192797497622,0.706745979877178
"8",2025-03-12 10:46:00,"2b",-2.71,3.9484,0.2179,1.5193,NA,NA,1.7372,0.8676,0.751152604887044,1.81192797497622,0.690120400188727
"9",2025-03-12 11:12:00,"2b",-2.863,3.9337,0.2328,1.5044,NA,NA,1.7372,0.8676,0.733978792070078,1.81192797497622,0.674341983796504
"10",2025-03-12 11:38:00,"2b",-2.968,3.9194,0.2471,1.4901,NA,NA,1.7372,0.8676,0.717496542185339,1.81192797497622,0.65919893987645
"11",2025-03-12 12:32:00,"2b",-3.153,3.8994,0.2671,1.4701,NA,"stuck in drying oven @ 30 degrees C at 1pm",1.7372,0.8676,0.694444444444444,1.81192797497622,0.638019857470781
"12",2025-03-12 13:14:00,"2b",-3.256,3.885,0.2814,1.4558,NA,NA,1.7372,0.8676,0.677962194559705,1.81192797497622,0.622876813550728
"13",2025-03-12 14:37:00,"2b",-3.532,3.8955,0.3198,1.4174,NA,"added more parafilm before measurement",1.7372,0.8676,0.633702166897188,1.81192797497622,0.582212975331843
"14",2025-03-12 15:59:00,"2b",-3.818,3.871,0.3443,1.3929,NA,"leaf fell off after measurement",1.7372,0.8676,0.605463347164592,1.81192797497622,0.556268599384899
"15",2025-03-12 17:42:00,"2b",-4.063,3.8307,0.3835,1.3537,NA,NA,1.7372,0.8676,0.560281235592439,1.81192797497622,0.514757597869788
"16",2025-03-12 19:20:00,"2b",-4.658,3.7938,0.4201,1.3171,NA,"leaf fell off after/during measurement",1.7372,0.8676,0.518095896726602,1.81192797497622,0.475999877067413
"17",2025-03-12 21:25:00,"2b",-5.098,3.7535,0.4569,1.2803,NA,"leaf fell off after/during measurement, had some troubleshooting issues with the lid seal so it took a while to get a measurement",1.7372,0.8676,0.475680036883356,1.81192797497622,0.437030365440982
"18",2025-03-12 23:32:00,"2b",-5.308,3.725,0.48,1.2572,NA,"really hard to tell if the water was coming out of the stem",1.7372,0.8676,0.449054863992624,1.81192797497622,0.412568525262434
"19",2025-03-13 01:38:00,"2b",-5.793,3.6915,0.5131,1.2241,NA,"leaf fell off before measurement, really hard to tell if the water was coming out of the stem",1.7372,0.8676,0.410903642231443,1.81192797497622,0.377517143881051
"20",2025-03-12 11:07:00,"3a",-2.16,4.8787,4.44089209850063e-16,2.4743,1.2583,"started with parafilm",2.4743,1.2583,0.966383215449416,2.78136239025728,0.798391456435734
"21",2025-03-12 11:33:00,"3a",-2.313,4.7733,0.1054,2.3689,NA,NA,2.4743,1.2583,0.882619407136613,2.78136239025728,0.729188775919018
