P.MPa,mass.g,leaf.mass.g,offset.mass.g,keep,time,note,eTLP,xTLP,a,b,c,d
1.36,6.0721,6.0721,0,TRUE,10/27/2023 8:34,NA,NA,NA,NA,NA,NA,NA
1.56,6.0321,6.0321,0,TRUE,10/27/2023 8:38,NA,NA,NA,NA,NA,NA,NA
1.91,5.9374,5.9374,0,TRUE,10/27/2023 10:53,NA,NA,NA,NA,NA,NA,NA
2.36,5.8484,5.8484,0,TRUE,10/27/2023 11:10,"pv(""latr_3"")",NA,NA,NA,NA,NA,NA
2.72,5.7559,5.7559,0,TRUE,10/27/2023 11:25, ,NA,NA,NA,NA,NA,NA
2.9,5.6534,5.6534,0,TRUE,10/27/2023 11:48, ,NA,NA,NA,NA,NA,NA
3.28,5.4152,5.4152,0,FALSE,10/27/2023 12:34, ,NA,NA,NA,NA,NA,NA
3.59,5.3185,5.3185,0,TRUE,10/27/2023 13:54, ,NA,NA,NA,NA,NA,NA
3.92,5.2587,5.2587,0,FALSE,10/27/2023 14:19, ,NA,NA,NA,NA,NA,NA
3.97,5.2152,5.2152,0,TRUE,10/27/2023 14:55, ,NA,NA,NA,NA,NA,NA
4.56,5.0222,5.0222,0,TRUE,10/30/2023 8:15, ,NA,NA,NA,NA,NA,NA
4.82,4.9437,4.9437,0,TRUE,10/30/2023 9:03, ,NA,NA,NA,NA,NA,NA
5.39,4.745,4.745,0,TRUE,10/30/2023 12:25, ,NA,NA,NA,NA,NA,NA
5.84,4.6026,4.6026,0,TRUE,10/30/2023 15:45, ,NA,NA,NA,NA,NA,NA
