"P.MPa","mass.g","leaf.mass.g","offset.mass.g","keep","time","note","eTLP","xTLP","a","b","c","d"
1.1,4.7907,4.7907,0,TRUE,"3/8/2024 9:37",NA,NA,NA,NA,NA,NA,NA
1.26,4.7428,4.7428,0,TRUE,"3/8/2024 9:38",NA,NA,NA,NA,NA,NA,NA
1.46,4.6908,4.6908,0,TRUE,"3/8/2024 9:38",NA,NA,NA,NA,NA,NA,NA
1.64,4.6664,4.6664,0,TRUE,"3/8/2024 10:03",NA,NA,NA,NA,NA,NA,NA
1.75,4.6276,4.6276,0,TRUE,"3/8/2024 10:21",NA,NA,NA,NA,NA,NA,NA
2.35,4.526,4.526,0,TRUE,"3/8/2024 10:52",NA,NA,NA,NA,NA,NA,NA
2.75,4.4677,4.4677,0,TRUE,"3/8/2024 11:42",NA,NA,NA,NA,NA,NA,NA
3.07,4.425,4.425,0,TRUE,"3/8/2024 12:35",NA,NA,NA,NA,NA,NA,NA
3.4,4.3128,4.3128,0,TRUE,"3/8/2024 13:05",NA,NA,NA,NA,NA,NA,NA
3.53,4.2232,4.2232,0,TRUE,"3/8/2024 13:38",NA,NA,NA,NA,NA,NA,NA
3.93,4.1018,4.1018,0,TRUE,"3/8/2024 14:24",NA,NA,NA,NA,NA,NA,NA
4.18,3.9822,3.9822,0,TRUE,"3/8/2024 15:15",NA,NA,NA,NA,NA,NA,NA
4.54,3.908,3.908,0,TRUE,"3/8/2024 16:07",NA,NA,NA,NA,NA,NA,NA
4.72,3.8705,3.8705,0,TRUE,"2024-03-09 07:27:33",NA,NA,NA,NA,NA,NA,NA
5.01,3.7612,3.7612,0,TRUE,"2024-03-09 08:41:45"," ",NA,NA,NA,NA,NA,NA
